"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"4339","ENSG00000213920","MDP1","ENSG00000213920.7"
"4340","ENSG00000234072","AC074117.1","ENSG00000234072.1"
"4341","ENSG00000224152","AC009506.1","ENSG00000224152.1"
"4342","ENSG00000013588","GPRC5A","ENSG00000013588.5"
"4343","ENSG00000260285","AL133367.1","ENSG00000260285.1"
"4344","ENSG00000112214","FHL5","ENSG00000112214.9"
"4345","ENSG00000273032","DGCR5","ENSG00000273032.1"
"4346","ENSG00000137441","FGFBP2","ENSG00000137441.7"
"4347","ENSG00000174951","FUT1","ENSG00000174951.9"
"4348","ENSG00000125618","PAX8","ENSG00000125618.15"
"4349","ENSG00000243749","TMEM35B","ENSG00000243749.1"
"4350","ENSG00000169570","DTWD2","ENSG00000169570.8"
"4351","ENSG00000205485","AC004980.1","ENSG00000205485.12"
"4352","ENSG00000197576","HOXA4","ENSG00000197576.12"
"4353","ENSG00000125378","BMP4","ENSG00000125378.14"
"4354","ENSG00000263266","RPS7P1","ENSG00000263266.2"
"4355","ENSG00000227615","AP001324.1","ENSG00000227615.1"
"4356","ENSG00000159231","CBR3","ENSG00000159231.5"
"4357","ENSG00000259070","LINC00639","ENSG00000259070.4"
"4358","ENSG00000167065","DUSP18","ENSG00000167065.12"
"4359","ENSG00000269352","PTOV1-AS2","ENSG00000269352.1"
"4360","ENSG00000186792","HYAL3","ENSG00000186792.14"
"4361","ENSG00000139239","RPL14P1","ENSG00000139239.7"
"4362","ENSG00000166192","SENP8","ENSG00000166192.13"
"4363","ENSG00000197566","ZNF624","ENSG00000197566.8"
"4364","ENSG00000104213","PDGFRL","ENSG00000104213.11"
"4365","ENSG00000138400","MDH1B","ENSG00000138400.11"
"4366","ENSG00000174529","TMEM81","ENSG00000174529.7"
"4367","ENSG00000073605","GSDMB","ENSG00000073605.17"
"4368","ENSG00000100003","SEC14L2","ENSG00000100003.16"
"4369","ENSG00000255330","AL096711.2","ENSG00000255330.7"
"4370","ENSG00000272368","AC074032.1","ENSG00000272368.2"
"4371","ENSG00000112293","GPLD1","ENSG00000112293.13"
"4372","ENSG00000141469","SLC14A1","ENSG00000141469.15"
"4373","ENSG00000185482","STAC3","ENSG00000185482.6"
"4374","ENSG00000244731","C4A","ENSG00000244731.6"
"4375","ENSG00000113356","POLR3G","ENSG00000113356.9"
"4376","ENSG00000006747","SCIN","ENSG00000006747.13"
"4377","ENSG00000224596","ZMIZ1-AS1","ENSG00000224596.6"
"4378","ENSG00000100526","CDKN3","ENSG00000100526.18"
"4379","ENSG00000141574","SECTM1","ENSG00000141574.6"
"4380","ENSG00000235381","AL596202.1","ENSG00000235381.1"
"4381","ENSG00000143851","PTPN7","ENSG00000143851.14"
"4382","ENSG00000179240","GVQW3","ENSG00000179240.7"
"4383","ENSG00000131153","GINS2","ENSG00000131153.7"
"4384","ENSG00000279716","AC006128.1","ENSG00000279716.1"
"4385","ENSG00000265666","RARA-AS1","ENSG00000265666.1"
"4386","ENSG00000267121","AC008105.3","ENSG00000267121.4"
"4387","ENSG00000108231","LGI1","ENSG00000108231.10"
"4388","ENSG00000175063","UBE2C","ENSG00000175063.15"
"4389","ENSG00000260329","AC007541.1","ENSG00000260329.1"
"4390","ENSG00000236088","COX10-AS1","ENSG00000236088.8"
"4391","ENSG00000068976","PYGM","ENSG00000068976.12"
"4392","ENSG00000172935","MRGPRF","ENSG00000172935.8"
"4393","ENSG00000260186","LINC02137","ENSG00000260186.4"
"4394","ENSG00000173295","FAM86B3P","ENSG00000173295.6"
"4395","ENSG00000129535","NRL","ENSG00000129535.11"
"4396","ENSG00000180229","HERC2P3","ENSG00000180229.11"
"4397","ENSG00000237649","KIFC1","ENSG00000237649.6"
"4398","ENSG00000197299","BLM","ENSG00000197299.9"
"4399","ENSG00000134830","C5AR2","ENSG00000134830.5"
"4400","ENSG00000271447","MMP28","ENSG00000271447.4"
